x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
2.121212121212121407e-08,2.053124322168026832e+26,2.057264528058459756e+26,2.060814972445269065e+26,2.061277712634843803e+26,2.061969477559019338e+26,1.025495703083947353e+26,9.362324605195266693e+25
2.222222222222222379e-08,2.052615870006197177e+26,2.056948119672801042e+26,2.060658643227992879e+26,2.061141932958100748e+26,2.061864283059013527e+26,1.027169121802888237e+26,9.375778392424365129e+25
2.171717171717171893e-08,2.052870328025966756e+26,2.057106415190526754e+26,2.060736830458570410e+26,2.061209839895706713e+26,2.061916890601771726e+26,1.026334053034820565e+26,9.369062003858734799e+25
2.272727272727272865e-08,2.052360947017560009e+26,2.056789641233246264e+26,2.060580410719702782e+26,2.061073991799768013e+26,2.061811654920431321e+26,1.028000932186047229e+26,9.382473877371006047e+25
2.222222222222222379e-08,2.052615870077121175e+26,2.056948119690448891e+26,2.060658643230184343e+26,2.061141932959542826e+26,2.061864283059690070e+26,1.027169120365647010e+26,9.375778385698200671e+25
2.323232323232323351e-08,2.052105557752392328e+26,2.056630979546284312e+26,2.060502132893250804e+26,2.061006016394099641e+26,2.061759006173667973e+26,1.028829511044269329e+26,9.389148584527563665e+25
2.272727272727272865e-08,2.052360947088733802e+26,2.056789641250931565e+26,2.060580410721897339e+26,2.061073991801211466e+26,2.061811654921109582e+26,1.028000930764525067e+26,9.382473870697293448e+25
2.373737373737373837e-08,2.051849700969455457e+26,2.056472134303279868e+26,2.060423809710340267e+26,2.060938006715902040e+26,2.061706336807041514e+26,1.029654883506901724e+26,9.395802632019025175e+25
2.323232323232323351e-08,2.052105557823814542e+26,2.056630979564010501e+26,2.060502132895447765e+26,2.061006016395544468e+26,2.061759006174347265e+26,1.028829509638252858e+26,9.389148577905794400e+25
2.424242424242424323e-08,2.051593375423252518e+26,2.056313105194929316e+26,2.060345441132627422e+26,2.060869962739961347e+26,2.061653646808857608e+26,1.030477074429618002e+26,9.402436137054489740e+25
2.373737373737373837e-08,2.051849701041126779e+26,2.056472134321045571e+26,2.060423809712539634e+26,2.060938006717347898e+26,2.061706336807719088e+26,1.029654882116177055e+26,9.395802625448692439e+25
2.474747474747474809e-08,2.051336579863998193e+26,2.056153891911246655e+26,2.060267027121726600e+26,2.060801884441037585e+26,2.061600936167408862e+26,1.031296108398143093e+26,9.409049215935995507e+25
2.424242424242424323e-08,2.051593375495175353e+26,2.056313105212734876e+26,2.060345441134829538e+26,2.060869962741409266e+26,2.061653646809534495e+26,1.030477073053977773e+26,9.402436130535097034e+25
2.525252525252525295e-08,2.051079313037612539e+26,2.055994494141579994e+26,2.060188567639216054e+26,2.060733771793866039e+26,2.061548204870986163e+26,1.032112009731916358e+26,9.415641984067267597e+25
2.474747474747474809e-08,2.051336579936174259e+26,2.056153891929091386e+26,2.060267027123932152e+26,2.060801884442485848e+26,2.061600936168088497e+26,1.031296107037382864e+26,9.409049209467061795e+25
